,ID,date,latitude,longitude,type,source,station,aqi,day,year,month,hour,dayofmonth,y_test,error
3,8855,2015-10-01 00:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,127.0,2015-10-01,2015,10,0,1,128.24910924706415,1.2491092470641547
10,8870,2015-10-01 01:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,123.0,2015-10-01,2015,10,1,1,104.69931676583809,-18.30068323416191
15,8885,2015-10-01 02:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,117.0,2015-10-01,2015,10,2,1,98.81265990693696,-18.187340093063042
21,8901,2015-10-01 03:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,86.0,2015-10-01,2015,10,3,1,75.23230364808155,-10.767696351918445
27,8911,2015-10-01 04:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,51.0,2015-10-01,2015,10,4,1,64.35198978069569,13.351989780695689
34,8924,2015-10-01 05:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,34.0,2015-10-01,2015,10,5,1,69.39625413521432,35.39625413521432
36,8937,2015-10-01 06:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,27.0,2015-10-01,2015,10,6,1,58.0848926052279,31.0848926052279
46,8961,2015-10-01 07:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,26.0,2015-10-01,2015,10,7,1,49.37235806683542,23.372358066835417
48,8964,2015-10-01 08:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,34.0,2015-10-01,2015,10,8,1,56.2025810127724,22.2025810127724
55,8979,2015-10-01 09:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,43.0,2015-10-01,2015,10,9,1,60.856476732060514,17.856476732060514
58,8990,2015-10-01 10:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,47.0,2015-10-01,2015,10,10,1,82.39098176470065,35.390981764700655
64,9003,2015-10-01 11:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,33.0,2015-10-01,2015,10,11,1,77.70916340760601,44.70916340760601
71,9018,2015-10-01 12:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,24.0,2015-10-01,2015,10,12,1,70.88868601355632,46.888686013556324
81,9046,2015-10-01 13:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,23.0,2015-10-01,2015,10,13,1,45.27067924063799,22.27067924063799
85,9058,2015-10-01 14:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,24.0,2015-10-01,2015,10,14,1,29.63916378928618,5.6391637892861795
90,9072,2015-10-01 15:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,26.0,2015-10-01,2015,10,15,1,20.23262335715115,-5.767376642848848
98,9089,2015-10-01 16:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,23.0,2015-10-01,2015,10,16,1,14.363232044004953,-8.636767955995047
102,9095,2015-10-01 17:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,23.0,2015-10-01,2015,10,17,1,15.124250872743636,-7.8757491272563644
106,9117,2015-10-01 18:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,24.0,2015-10-01,2015,10,18,1,14.888923188371901,-9.111076811628099
116,9135,2015-10-01 19:00:00,47.922497,106.79481000000001,PM2.5,Agaar.mn,Толгойт,30.0,2015-10-01,2015,10,19,1,20.83196157297957,-9.16803842702043
