iter	Passed	Remaining
0	29	28995
1	59	29624
2	87	28972
3	116	29103
4	145	29000
5	174	28884
6	203	28801
7	232	28794
8	260	28719
9	290	28724
10	320	28801
11	349	28749
12	377	28698
13	406	28663
14	436	28632
15	465	28598
16	494	28606
17	524	28594
18	552	28533
19	581	28514
20	611	28506
21	640	28464
22	668	28402
23	716	29151
24	756	29489
25	785	29421
26	814	29369
27	844	29310
28	872	29205
29	901	29147
30	930	29080
31	959	29010
32	986	28907
33	1014	28831
34	1042	28752
35	1070	28673
36	1099	28629
37	1128	28565
38	1156	28497
39	1186	28464
40	1214	28401
41	1243	28373
42	1271	28303
43	1300	28262
44	1328	28204
45	1358	28169
46	1386	28117
47	1415	28071
48	1444	28028
49	1472	27986
50	1500	27923
51	1529	27880
52	1558	27848
53	1587	27802
54	1615	27765
55	1644	27725
56	1672	27670
57	1702	27655
58	1731	27618
59	1759	27568
60	1788	27535
61	1818	27507
62	1845	27450
63	1873	27397
64	1902	27361
65	1929	27310
66	1958	27267
67	1987	27243
68	2015	27198
69	2044	27168
70	2072	27119
71	2101	27082
72	2130	27058
73	2159	27026
74	2187	26979
75	2216	26948
76	2245	26916
77	2273	26875
78	2301	26832
79	2330	26804
80	2360	26780
81	2387	26730
82	2416	26695
83	2445	26664
84	2473	26624
85	2503	26606
86	2531	26561
87	2560	26539
88	2589	26502
89	2618	26476
90	2647	26448
91	2676	26418
92	2708	26413
93	2744	26454
94	2775	26440
95	2809	26452
96	2839	26437
97	2870	26420
98	2902	26418
99	2935	26420
100	2966	26403
101	2998	26399
102	3028	26371
103	3059	26360
104	3091	26349
105	3120	26321
106	3154	26327
107	3186	26314
108	3217	26297
109	3248	26279
110	3279	26263
111	3311	26253
112	3343	26248
113	3375	26232
114	3407	26219
115	3437	26193
116	3467	26170
117	3499	26159
118	3531	26147
119	3562	26128
120	3599	26147
121	3630	26124
122	3660	26101
123	3693	26095
124	3724	26069
125	3754	26041
126	3784	26012
127	3819	26019
128	3851	26006
129	3885	26002
130	3916	25982
131	3949	25968
132	3978	25936
133	4008	25906
134	4040	25887
135	4072	25869
136	4105	25859
137	4135	25830
138	4166	25806
139	4196	25780
140	4227	25756
141	4258	25729
142	4289	25709
143	4321	25689
144	4351	25660
145	4383	25638
146	4413	25612
147	4443	25580
148	4474	25556
149	4517	25598
150	4549	25577
151	4579	25547
152	4611	25526
153	4640	25493
154	4671	25466
155	4703	25448
156	4733	25418
157	4764	25390
158	4800	25388
159	4829	25354
160	4859	25322
161	4890	25297
162	4920	25268
163	4953	25249
164	4984	25225
165	5014	25192
166	5042	25154
167	5072	25119
168	5103	25094
169	5131	25053
170	5161	25024
171	5192	24997
172	5225	24978
173	5256	24951
174	5286	24920
175	5315	24885
176	5343	24846
177	5374	24818
178	5405	24791
179	5435	24761
180	5464	24727
181	5493	24691
182	5524	24663
183	5557	24646
184	5586	24612
185	5616	24579
186	5645	24543
187	5676	24516
188	5706	24485
189	5737	24458
190	5766	24425
191	5801	24413
192	5830	24378
193	5862	24356
194	5892	24324
195	5922	24294
196	5953	24266
197	5983	24234
198	6015	24214
199	6046	24186
200	6076	24153
201	6105	24117
202	6134	24083
203	6167	24066
204	6196	24031
205	6227	24001
206	6255	23963
207	6285	23934
208	6317	23910
209	6349	23884
210	6377	23848
211	6407	23815
212	6436	23781
213	6464	23743
214	6493	23710
215	6523	23679
216	6553	23646
217	6585	23623
218	6616	23597
219	6646	23565
220	6674	23527
221	6702	23490
222	6728	23444
223	6755	23402
224	6781	23360
225	6809	23320
226	6837	23284
227	6865	23245
228	6890	23199
229	6917	23159
230	6943	23113
231	6968	23067
232	6994	23024
233	7022	22986
